"项目名称","当前取值","来源类型","一手来源（URL 或文件路径 + 哈希）","日期","在代码中的位置（文件路径 + 行号或函数名）","在论文中的位置（章节/表/公式编号）","风险说明","若该项被审稿人质疑，我们能出示什么证据","该项是否已在论文正文显式披露其来源类型"
"L01 新电动车配置：福田欧马可智蓝 ES1 快递版栏板","额定载质量 1700 kg；电池 77.28 kWh；整备质量 2600 kg；总质量 4495 kg；FOTON-AUMARK-ES1-EXPRESS-STAKE","官方观测","福田官方 PDF https://aumark.foton.com.cn/profile/upload/2025/08/08/%E6%AC%A7%E9%A9%AC%E5%8F%AF%E6%99%BA%E8%93%9DES1%E5%8D%95%E9%A1%B5-NEW_20250808124334A003.pdf；V04 官方快照 SHA-256 006626c698bda63606c8a60e98b0044a821928951b27901129b45ab8eb6412d","官方资料 2025-08-08；核验 2026-07-27","solver/src/setp_solver/china81.py:660-686；_china_vehicle_parameters()","第4节实验设计；表 tab:vehicle","论文仍写旧 ES1·140 厢式 3300/1000/140.41，且官方表缺该栏板配置专属高度。","福田官方 PDF、V04 逐字段摘录、快照哈希、research_ev_payload_01_20260727/report.md 与当前代码。","否"
"L02 燃油车配置：江淮威铃 K7","额定载质量 1735 kg；整备质量 2565 kg；总质量 4495 kg；外廓 5995×2200×2480 mm","官方观测","江淮官方页 https://yika.jac.com.cn/wlK7/；docs/handoff/china_vehicle_parameter_sources_20260718/raw/jac_wling_k7_official_20260718.txt；SHA-256 cd5b965614166efb1ae06aed6d89127d7246adf8012eb2822b678f06fbd616d1","访问/冻结 2026-07-18","solver/src/setp_solver/china81.py:638-658；_china_vehicle_parameters()","第4节实验设计；表 tab:vehicle","字段属于第一配置列 G12J8/G12K8 厢式链；不可跨列拼接或把外廓高度称为实测迎风高度。","官方网页快照、逐行字段链、哈希和参数锁选型记录。","是"
"L03 电动车高度 2.480 m 对称迁移","主情景取 K7 同值 2.480 m；敏感性 3.05/3.25 m","工程假设","无 ES1 该配置专属高度一手来源；docs/handoff/model_change_approval_register_20260718.md；SHA-256 1721048da32c19205024d36bffbb5a07230cd9084a2013deda407f28005a6cd4","批准 2026-07-27；核验 2026-07-28","solver/src/setp_solver/china81.py:666-684；HEIGHT_ASSUMED_SYMMETRIC_WITH_CV_FIELD_INCOMPLETE","第4节表 tab:vehicle 的迎风面积行","燃油车外廓高度迁移会方向性影响风阻与电耗；论文仍是旧面积。","福田资料字段缺失记录、K7 官方 2480 mm、批准记录和预注册敏感性。","否"
"L04 迎风面积投影因子","0.85；两类车迎风面积 0.85×2.2×2.48=4.6376 m²","工程假设","未找到 AF_0.85_WH_SCENARIO_TRIP_2026_102123 对应原始来源；solver/src/setp_solver/china81.py；SHA-256 c70133cf59e33f6331a1fafb95188430615472974c2a1e3d2e838f822a09e79e","代码快照 2026-07-28","solver/src/setp_solver/china81.py:646,672,890","第4节表 tab:vehicle 表注","source id 无 URL/快照/哈希映射；同时继承高度不确定性。","只能出示公式、代码和 source id；目前无独立一手证据。","是"
"L05 空气阻力系数","CV/EV 均 c_d=0.45","工程假设","未找到 CD_0.45_EPA_SMARTWAY_CLASS2B_SCENARIO 对应原始来源；solver/src/setp_solver/china81.py；SHA-256 c70133cf59e33f6331a1fafb95188430615472974c2a1e3d2e838f822a09e79e","代码快照 2026-07-28","solver/src/setp_solver/china81.py:647,674,888","第4节表 tab:vehicle 的空气阻力系数行","不是两款目标车厂商实测风阻；source-id 到原件的审计映射缺失。","当前只能出示代码、source id 和参数表。","是"
"L06 CMEM/Goeke 通用物理与柴油机参数","g0=9.81；rho_a=1.2041；c_r=0.01；k_engine=0.2；xi=1.0；eta_diesel=0.9；eta_tf=0.4；kappa=44；psi=737；N=33；D=5","构造情景","Goeke 2015 https://doi.org/10.1016/j.ejor.2015.01.049；Demir 2012 https://doi.org/10.1016/j.ejor.2012.06.044；solver/src/setp_solver/prices.py SHA-256 f3388ba9f9defa29b013cbfa94207c3540492c421925797bb7766ce119d60fdb","文献 2012/2015；保留裁决 2026-07-17","solver/src/setp_solver/prices.py:18-48；china81.py:649-651","第2节公式 eq:power、eq:fuel、eq:linear_energy；第4节参数说明","文献通用柴油机参数迁移到 K7，未做目标车型标定；正文未逐项列全。","两篇 DOI、代码逐项注释和中国化参数合同。","是"
"L07 电驱与电池放电效率迁移","phi_d=1.184692；varphi_d=1.112434；牵引能耗倍率为两者乘积","构造情景","Goeke 2015 https://doi.org/10.1016/j.ejor.2015.01.049；solver/src/setp_solver/prices.py SHA-256 f3388ba9f9defa29b013cbfa94207c3540492c421925797bb7766ce119d60fdb","文献 2015；保留裁决 2026-07-17","solver/src/setp_solver/prices.py:49-51；solver/src/setp_solver/china81.py:679,685","第2节公式 eq:electricity、eq:linear_energy；第4节文献迁移说明","文献系数迁移到 77.28 kWh ES1，未做目标车型效率标定。","Goeke DOI、代码常量和参数中国化合同。","是"
"L08 北京 2025-02-12 柴油价","7.48 元/L","官方观测","北京市发展改革委 https://fgw.beijing.gov.cn/fgwzwgk/2024zcwj/bwqtwj/202501/t20250116_3991009.htm；快照 SHA-256 fd77874a14cefaf2cdec261e6f402504bf79f76515378f22d247b008dedf5cd2","发布 2025-01-16；覆盖 2025-02-12；登记 2026-07-23","solver/src/setp_solver/china81.py:58-68,972-1007","第4节燃油价参数段","论文仍写 2026-07 区域聚合价 6.87 元/L。","官方页面、快照哈希、逐城来源登记、运行时日历和代码映射。","否"
"L09 天津 2025-02-12 柴油价","7.43 元/L","官方观测","天津市发展改革委 https://fzgg.tj.gov.cn/xxfb/tzggx/index_4.html；快照 SHA-256 90397ed3e60d26151238f49f60e9067d2a793ee4a7e879a5a4fab661e937a400","2025-01-16 价期；覆盖 2025-02-12；登记 2026-07-23","solver/src/setp_solver/china81.py:58-68,972-1007","第4节燃油价参数段","论文用京津冀单一旧价，掩盖城市差异。","官方索引快照、哈希、来源登记表和逐城运行时映射。","否"
"L10 石家庄 2025-02-12 柴油价","7.43 元/L","官方观测","河北官方材料 https://drc.chengde.gov.cn/module/download/downfile.jsp?classid=0&filename=7648b6dd9ce14c50bfe51657f97e0290.pdf；快照 SHA-256 ea2187719dddf1364bcbe2fffba5eb2f2a4c405c89925a3ed79fc0d89843e7d3","2025-01-16 价期；覆盖 2025-02-12；登记 2026-07-23","solver/src/setp_solver/china81.py:58-68,972-1007","第4节燃油价参数段","省级最高零售价不等于企业实际采购价。","官方 PDF、哈希、逐城登记及运行时绑定。","否"
"L11 广州 2025-02-12 柴油价","7.44 元/L","官方观测","广东官方发布 https://www.zhanjiang.gov.cn/zjfgj/gkmlpt/content/2/2002/post_2002007.html；快照 SHA-256 6ef1536aaa055e0a14f719fc62c8e2a320d8fc80cbb10ff27f3f7e0b25108988","2025-01-16 价期；覆盖 2025-02-12；登记 2026-07-23","solver/src/setp_solver/china81.py:58-68,972-1007","第4节燃油价参数段","最高零售价不是车队成交价；论文仍写旧珠三角区域价。","官方页面快照、哈希、登记表和运行时日历。","否"
"L12 深圳 2025-02-12 柴油价","7.44 元/L","官方观测","广东官方发布 https://www.zhanjiang.gov.cn/zjfgj/gkmlpt/content/2/2002/post_2002007.html；快照 SHA-256 6ef1536aaa055e0a14f719fc62c8e2a320d8fc80cbb10ff27f3f7e0b25108988","2025-01-16 价期；覆盖 2025-02-12；登记 2026-07-23","solver/src/setp_solver/china81.py:58-68,972-1007","第4节燃油价参数段","柴油沿用广东省价目，但电价必须是深圳独立价区，地域口径不可混写。","省级官方价目、逐城映射和运行时联合主键。","否"
"L13 东莞 2025-02-12 柴油价","7.44 元/L","官方观测","广东官方发布 https://www.zhanjiang.gov.cn/zjfgj/gkmlpt/content/2/2002/post_2002007.html；快照 SHA-256 6ef1536aaa055e0a14f719fc62c8e2a320d8fc80cbb10ff27f3f7e0b25108988","2025-01-16 价期；覆盖 2025-02-12；登记 2026-07-23","solver/src/setp_solver/china81.py:58-68,972-1007","第4节燃油价参数段","最高零售价与企业采购价存在口径差。","官方发布、哈希、逐城登记与运行时日历。","否"
"L14 佛山 2025-02-12 柴油价","7.44 元/L","官方观测","广东官方发布 https://www.zhanjiang.gov.cn/zjfgj/gkmlpt/content/2/2002/post_2002007.html；快照 SHA-256 6ef1536aaa055e0a14f719fc62c8e2a320d8fc80cbb10ff27f3f7e0b25108988","2025-01-16 价期；覆盖 2025-02-12；登记 2026-07-23","solver/src/setp_solver/china81.py:58-68,972-1007","第4节燃油价参数段","最高零售价与企业采购价存在口径差。","官方发布、哈希、逐城登记与运行时日历。","否"
