check_id,scope,status,observed,expected,evidence,details
HASH-china81_runtime_parameter_authority_v3_20260723,authority_hashes,PASS,manifest_files=6;missing=0;unexpected=0;mismatch=0,missing=0;unexpected=0;mismatch=0,data/ChinaInstances/china81_runtime_parameter_authority_v3_20260723/artifact_hashes.json,"{""mismatches"": [], ""missing"": [], ""unexpected"": []}"
HASH-china81_customer_location_assignments_gis_v3_20260723,authority_hashes,PASS,manifest_files=6;missing=0;unexpected=0;mismatch=0,missing=0;unexpected=0;mismatch=0,data/ChinaInstances/china81_customer_location_assignments_gis_v3_20260723/artifact_hashes.json,"{""mismatches"": [], ""missing"": [], ""unexpected"": []}"
HASH-china81_order_attributes_gis_v2_20260723,authority_hashes,PASS,manifest_files=6;missing=0;unexpected=0;mismatch=0,missing=0;unexpected=0;mismatch=0,data/ChinaInstances/china81_order_attributes_gis_v2_20260723/artifact_hashes.json,"{""mismatches"": [], ""missing"": [], ""unexpected"": []}"
HASH-china81_stage2_static_inputs_corrected_v3_20260723,authority_hashes,PASS,manifest_files=91;missing=0;unexpected=0;mismatch=0,missing=0;unexpected=0;mismatch=0,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/artifact_hashes.json,"{""mismatches"": [], ""missing"": [], ""unexpected"": []}"
HASH-china81_local_directed_matrices_corrected_v10_20260723,authority_hashes,PASS,manifest_files=830;missing=0;unexpected=0;mismatch=0,missing=0;unexpected=0;mismatch=0,data/ChinaInstances/china81_local_directed_matrices_corrected_v10_20260723/artifact_hashes.json,"{""mismatches"": [], ""missing"": [], ""unexpected"": []}"
BUNDLE-cn-cy-100c-01-V2-LOCATIONS,corrected_bundle,PASS,"nodes=104;customers=100;cities=chengdu,chongqing;failed=",all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-100c-01-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-cy-100c-02-V2-LOCATIONS,corrected_bundle,PASS,"nodes=104;customers=100;cities=chengdu,chongqing;failed=",all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-100c-02-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-cy-100c-03-V2-LOCATIONS,corrected_bundle,PASS,"nodes=104;customers=100;cities=chengdu,chongqing;failed=",all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-100c-03-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-cy-10c-01-V2-LOCATIONS,corrected_bundle,PASS,nodes=12;customers=10;cities=chongqing;failed=,all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-10c-01-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-cy-10c-02-V2-LOCATIONS,corrected_bundle,PASS,nodes=12;customers=10;cities=chongqing;failed=,all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-10c-02-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-cy-10c-03-V2-LOCATIONS,corrected_bundle,PASS,nodes=12;customers=10;cities=chongqing;failed=,all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-10c-03-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-cy-150c-01-V2-LOCATIONS,corrected_bundle,PASS,"nodes=154;customers=150;cities=chengdu,chongqing;failed=",all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-150c-01-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-cy-150c-02-V2-LOCATIONS,corrected_bundle,PASS,"nodes=154;customers=150;cities=chengdu,chongqing;failed=",all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-150c-02-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-cy-150c-03-V2-LOCATIONS,corrected_bundle,PASS,"nodes=154;customers=150;cities=chengdu,chongqing;failed=",all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-150c-03-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
BUNDLE-cn-cy-15c-01-V2-LOCATIONS,corrected_bundle,PASS,nodes=17;customers=15;cities=chongqing;failed=,all explicit-authority and runtime mapping checks pass,data/ChinaInstances/china81_stage2_static_inputs_corrected_v3_20260723/instances/cn-cy-15c-01-V2-LOCATIONS/nodes.csv,"{""city_calendar_48_slots"": true, ""customer_count"": true, ""diesel_zone_map"": true, ""formal_search_frozen"": true, ""matrix_authority"": true, ""node_count"": true, ""parameter_authority"": true, ""price_area_map"": true, ""road_profiles"": true, ""static_authority"": true}"
