scenario,index,action_id,channel,status,declared_duty_ids,actual_duty_ids,scope_equal,error_type,error
actual_participation,1,relocate:CV_D_chengdu_1#T1:C014->CV_D_chengdu_2#T1@0,relocate,APPLIED,CV_D_chengdu_1|CV_D_chengdu_2,CV_D_chengdu_1|CV_D_chengdu_2,True,,
actual_participation,2,relocate:CV_D_chengdu_1#T1:C014->CV_D_chengdu_2#T1@1,relocate,APPLIED,CV_D_chengdu_1|CV_D_chengdu_2,CV_D_chengdu_1|CV_D_chengdu_2,True,,
actual_participation,3,relocate:CV_D_chengdu_1#T1:C014->CV_D_chengdu_2#T1@2,relocate,APPLIED,CV_D_chengdu_1|CV_D_chengdu_2,CV_D_chengdu_1|CV_D_chengdu_2,True,,
actual_participation,4,relocate:CV_D_chengdu_1#T1:C014->CV_D_chengdu_2#T1@3,relocate,APPLIED,CV_D_chengdu_1|CV_D_chengdu_2,CV_D_chengdu_1|CV_D_chengdu_2,True,,
actual_participation,5,relocate:CV_D_chengdu_1#T1:C014->CV_D_chengdu_2#T1@4,relocate,APPLIED,CV_D_chengdu_1|CV_D_chengdu_2,CV_D_chengdu_1|CV_D_chengdu_2,True,,
actual_participation,6,relocate:CV_D_chengdu_1#T1:C014->CV_D_chengdu_2#T1@5,relocate,APPLIED,CV_D_chengdu_1|CV_D_chengdu_2,CV_D_chengdu_1|CV_D_chengdu_2,True,,
actual_participation,7,relocate:CV_D_chengdu_1#T1:C014->CV_D_chengdu_2#T1@6,relocate,APPLIED,CV_D_chengdu_1|CV_D_chengdu_2,CV_D_chengdu_1|CV_D_chengdu_2,True,,
actual_participation,8,relocate:CV_D_chengdu_1#T1:C014->CV_D_chengdu_2#T1@7,relocate,APPLIED,CV_D_chengdu_1|CV_D_chengdu_2,CV_D_chengdu_1|CV_D_chengdu_2,True,,
actual_participation,9,relocate:CV_D_chengdu_1#T1:C014->CV_D_chengdu_3#T1@0,relocate,APPLIED,CV_D_chengdu_1|CV_D_chengdu_3,CV_D_chengdu_1|CV_D_chengdu_3,True,,
actual_participation,10,relocate:CV_D_chengdu_1#T1:C014->CV_D_chengdu_3#T1@1,relocate,APPLIED,CV_D_chengdu_1|CV_D_chengdu_3,CV_D_chengdu_1|CV_D_chengdu_3,True,,
actual_participation,11,relocate:CV_D_chengdu_1#T1:C014->CV_D_chengdu_3#T1@2,relocate,APPLIED,CV_D_chengdu_1|CV_D_chengdu_3,CV_D_chengdu_1|CV_D_chengdu_3,True,,
actual_participation,12,relocate:CV_D_chengdu_1#T1:C014->CV_D_chengdu_3#T1@3,relocate,APPLIED,CV_D_chengdu_1|CV_D_chengdu_3,CV_D_chengdu_1|CV_D_chengdu_3,True,,
actual_participation,13,relocate:CV_D_chengdu_1#T1:C014->CV_D_chongqing_1#T1@0,depot_collaboration,APPLIED,CV_D_chengdu_1|CV_D_chongqing_1,CV_D_chengdu_1|CV_D_chongqing_1,True,,
actual_participation,14,relocate:CV_D_chengdu_1#T1:C014->CV_D_chongqing_1#T1@1,depot_collaboration,APPLIED,CV_D_chengdu_1|CV_D_chongqing_1,CV_D_chengdu_1|CV_D_chongqing_1,True,,
actual_participation,15,relocate:CV_D_chengdu_1#T1:C014->CV_D_chongqing_1#T1@2,depot_collaboration,APPLIED,CV_D_chengdu_1|CV_D_chongqing_1,CV_D_chengdu_1|CV_D_chongqing_1,True,,
actual_participation,16,relocate:CV_D_chengdu_1#T1:C014->CV_D_chongqing_1#T1@3,depot_collaboration,APPLIED,CV_D_chengdu_1|CV_D_chongqing_1,CV_D_chengdu_1|CV_D_chongqing_1,True,,
actual_participation,17,relocate:CV_D_chengdu_1#T1:C014->CV_D_chongqing_1#T1@4,depot_collaboration,APPLIED,CV_D_chengdu_1|CV_D_chongqing_1,CV_D_chengdu_1|CV_D_chongqing_1,True,,
actual_participation,18,relocate:CV_D_chengdu_1#T1:C014->CV_D_chongqing_1#T1@5,depot_collaboration,APPLIED,CV_D_chengdu_1|CV_D_chongqing_1,CV_D_chengdu_1|CV_D_chongqing_1,True,,
actual_participation,19,relocate:CV_D_chengdu_1#T1:C014->CV_D_chongqing_1#T1@6,depot_collaboration,APPLIED,CV_D_chengdu_1|CV_D_chongqing_1,CV_D_chengdu_1|CV_D_chongqing_1,True,,
actual_participation,20,relocate:CV_D_chengdu_1#T1:C014->CV_D_chongqing_1#T1@7,depot_collaboration,APPLIED,CV_D_chengdu_1|CV_D_chongqing_1,CV_D_chengdu_1|CV_D_chongqing_1,True,,
actual_participation,21,relocate:CV_D_chengdu_1#T1:C014->CV_D_chongqing_2#T1@0,depot_collaboration,APPLIED,CV_D_chengdu_1|CV_D_chongqing_2,CV_D_chengdu_1|CV_D_chongqing_2,True,,
actual_participation,22,relocate:CV_D_chengdu_1#T1:C014->CV_D_chongqing_2#T1@1,depot_collaboration,APPLIED,CV_D_chengdu_1|CV_D_chongqing_2,CV_D_chengdu_1|CV_D_chongqing_2,True,,
actual_participation,23,relocate:CV_D_chengdu_1#T1:C014->CV_D_chongqing_2#T1@2,depot_collaboration,APPLIED,CV_D_chengdu_1|CV_D_chongqing_2,CV_D_chengdu_1|CV_D_chongqing_2,True,,
actual_participation,24,relocate:CV_D_chengdu_1#T1:C014->CV_D_chongqing_2#T1@3,depot_collaboration,APPLIED,CV_D_chengdu_1|CV_D_chongqing_2,CV_D_chengdu_1|CV_D_chongqing_2,True,,
actual_participation,25,relocate:CV_D_chengdu_1#T1:C014->CV_D_chongqing_3#T1@0,depot_collaboration,APPLIED,CV_D_chengdu_1|CV_D_chongqing_3,CV_D_chengdu_1|CV_D_chongqing_3,True,,
actual_participation,26,relocate:CV_D_chengdu_1#T1:C014->CV_D_chongqing_3#T1@1,depot_collaboration,APPLIED,CV_D_chengdu_1|CV_D_chongqing_3,CV_D_chengdu_1|CV_D_chongqing_3,True,,
actual_participation,27,relocate:CV_D_chengdu_1#T1:C014->CV_D_chongqing_3#T1@2,depot_collaboration,APPLIED,CV_D_chengdu_1|CV_D_chongqing_3,CV_D_chengdu_1|CV_D_chongqing_3,True,,
actual_participation,28,relocate:CV_D_chengdu_1#T1:C014->CV_D_chongqing_3#T1@3,depot_collaboration,APPLIED,CV_D_chengdu_1|CV_D_chongqing_3,CV_D_chengdu_1|CV_D_chongqing_3,True,,
actual_participation,29,relocate:CV_D_chengdu_1#T1:C014->CV_D_chongqing_3#T1@4,depot_collaboration,APPLIED,CV_D_chengdu_1|CV_D_chongqing_3,CV_D_chengdu_1|CV_D_chongqing_3,True,,
actual_participation,30,relocate:CV_D_chengdu_1#T1:C014->CV_D_chongqing_3#T1@5,depot_collaboration,APPLIED,CV_D_chengdu_1|CV_D_chongqing_3,CV_D_chengdu_1|CV_D_chongqing_3,True,,
actual_participation,31,relocate:CV_D_chengdu_1#T1:C014->CV_D_chongqing_4#T1@0,depot_collaboration,APPLIED,CV_D_chengdu_1|CV_D_chongqing_4,CV_D_chengdu_1|CV_D_chongqing_4,True,,
actual_participation,32,relocate:CV_D_chengdu_1#T1:C014->CV_D_chongqing_4#T1@1,depot_collaboration,APPLIED,CV_D_chengdu_1|CV_D_chongqing_4,CV_D_chengdu_1|CV_D_chongqing_4,True,,
actual_participation,33,relocate:CV_D_chengdu_1#T1:C014->CV_D_chongqing_4#T1@2,depot_collaboration,APPLIED,CV_D_chengdu_1|CV_D_chongqing_4,CV_D_chengdu_1|CV_D_chongqing_4,True,,
actual_participation,34,relocate:CV_D_chengdu_1#T1:C014->CV_D_chongqing_4#T1@3,depot_collaboration,APPLIED,CV_D_chengdu_1|CV_D_chongqing_4,CV_D_chengdu_1|CV_D_chongqing_4,True,,
actual_participation,35,relocate:CV_D_chengdu_1#T1:C014->CV_D_chongqing_4#T1@4,depot_collaboration,APPLIED,CV_D_chengdu_1|CV_D_chongqing_4,CV_D_chengdu_1|CV_D_chongqing_4,True,,
actual_participation,36,relocate:CV_D_chengdu_1#T1:C014->CV_D_chongqing_4#T1@5,depot_collaboration,APPLIED,CV_D_chengdu_1|CV_D_chongqing_4,CV_D_chengdu_1|CV_D_chongqing_4,True,,
