run_id,phase,algorithm,display_algorithm,category,instance,seed,step,eval,operator,channel,best_cost,route_count,time_seconds
A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_LOCAL_SEARCH__LOCAL_SEARCH__seed1,A2_COMPONENT_ABLATION,alns_component_LOCAL_SEARCH,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-150c-01,1,0,0,shared_warm_start,shared_warm_start,5803.553350198798,,0.00044791700202040374
A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_LOCAL_SEARCH__LOCAL_SEARCH__seed1,A2_COMPONENT_ABLATION,alns_component_LOCAL_SEARCH,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-150c-01,1,1,21,whole_route_removal+regret2_insert_repair,native_whole_route_removal+regret2_insert_repair,5724.641167056602,,5.01716133300215
A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_LOCAL_SEARCH__LOCAL_SEARCH__seed1,A2_COMPONENT_ABLATION,alns_component_LOCAL_SEARCH,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-150c-01,1,2,29,whole_route_removal+regret2_insert_repair,native_whole_route_removal+regret2_insert_repair,5690.999648981208,,5.778005707994453
A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_LOCAL_SEARCH__LOCAL_SEARCH__seed1,A2_COMPONENT_ABLATION,alns_component_LOCAL_SEARCH,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-150c-01,1,3,31,whole_route_removal+regret2_insert_repair,native_whole_route_removal+regret2_insert_repair,5547.779361628626,,5.88708124999539
A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_LOCAL_SEARCH__LOCAL_SEARCH__seed1,A2_COMPONENT_ABLATION,alns_component_LOCAL_SEARCH,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-150c-01,1,4,32,whole_route_removal+regret2_insert_repair,native_whole_route_removal+regret2_insert_repair,5521.377677961453,,6.004549791992758
A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_LOCAL_SEARCH__LOCAL_SEARCH__seed1,A2_COMPONENT_ABLATION,alns_component_LOCAL_SEARCH,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-150c-01,1,5,75,whole_route_removal+regret2_insert_repair,native_whole_route_removal+regret2_insert_repair,5340.128567081175,,7.575442916990141
A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_LOCAL_SEARCH__LOCAL_SEARCH__seed1,A2_COMPONENT_ABLATION,alns_component_LOCAL_SEARCH,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-150c-01,1,6,98,whole_route_removal+regret2_insert_repair,native_whole_route_removal+regret2_insert_repair,5254.206776219964,,9.027114041993627
A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_LOCAL_SEARCH__LOCAL_SEARCH__seed1,A2_COMPONENT_ABLATION,alns_component_LOCAL_SEARCH,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-150c-01,1,7,153,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,5245.063462771398,,11.061039416992571
A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_LOCAL_SEARCH__LOCAL_SEARCH__seed1,A2_COMPONENT_ABLATION,alns_component_LOCAL_SEARCH,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-150c-01,1,8,157,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,5241.295119903577,,11.441248582996195
A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_LOCAL_SEARCH__LOCAL_SEARCH__seed1,A2_COMPONENT_ABLATION,alns_component_LOCAL_SEARCH,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-150c-01,1,9,160,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,5215.572453638517,,11.763731874991208
A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_LOCAL_SEARCH__LOCAL_SEARCH__seed1,A2_COMPONENT_ABLATION,alns_component_LOCAL_SEARCH,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-150c-01,1,10,161,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,5214.215818915652,,11.870200124991243
A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_LOCAL_SEARCH__LOCAL_SEARCH__seed1,A2_COMPONENT_ABLATION,alns_component_LOCAL_SEARCH,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-150c-01,1,11,162,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,5213.606856430326,,11.98882341699209
A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_LOCAL_SEARCH__LOCAL_SEARCH__seed1,A2_COMPONENT_ABLATION,alns_component_LOCAL_SEARCH,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-150c-01,1,12,169,route_segment_removal+regret2_insert_repair,native_route_segment_removal+regret2_insert_repair,5205.522683280167,,12.524504250002792
