actual_customer_count,best_cost,best_ev_routes,best_routes,candidate_scores,clean,effective_full_solution_scores,effective_to_official_ratio,eval_budget,feasible,hidden_full_solution_scores,hidden_neighbor_scores,initial_cost,instance,official_budget_overshoot,official_evaluations,profile,run_id,scale,seed,solution_path,violation_count
45,1297.0786144940996,1,6,100,True,1261,12.61,100,True,1161,1113,1800.6676271939593,L-main-threeshift-20c-01,0,100,CURRENT_T3,small__L-main-threeshift-20c-01__CURRENT_T3__seed1,small,1,baselines/e2_alns/m1_local_search_budget_20260710/solutions/small__L-main-threeshift-20c-01__CURRENT_T3__seed1.json,0
45,1326.8240314295028,0,6,100,True,100,1.0,100,True,0,0,1800.6676271939593,L-main-threeshift-20c-01,0,100,NO_LOCAL_SEARCH,small__L-main-threeshift-20c-01__NO_LOCAL_SEARCH__seed1,small,1,baselines/e2_alns/m1_local_search_budget_20260710/solutions/small__L-main-threeshift-20c-01__NO_LOCAL_SEARCH__seed1.json,0
45,1433.2460688168494,0,7,100,True,1156,11.56,100,True,1056,1007,1800.6676271939593,L-main-threeshift-20c-01,0,100,CURRENT_T3,small__L-main-threeshift-20c-01__CURRENT_T3__seed2,small,2,baselines/e2_alns/m1_local_search_budget_20260710/solutions/small__L-main-threeshift-20c-01__CURRENT_T3__seed2.json,0
45,1408.909182227603,0,7,100,True,100,1.0,100,True,0,0,1800.6676271939593,L-main-threeshift-20c-01,0,100,NO_LOCAL_SEARCH,small__L-main-threeshift-20c-01__NO_LOCAL_SEARCH__seed2,small,2,baselines/e2_alns/m1_local_search_budget_20260710/solutions/small__L-main-threeshift-20c-01__NO_LOCAL_SEARCH__seed2.json,0
45,1365.056516711448,1,7,100,True,945,9.45,100,True,845,809,1800.6676271939593,L-main-threeshift-20c-01,0,100,CURRENT_T3,small__L-main-threeshift-20c-01__CURRENT_T3__seed3,small,3,baselines/e2_alns/m1_local_search_budget_20260710/solutions/small__L-main-threeshift-20c-01__CURRENT_T3__seed3.json,0
45,1414.8139319370089,1,7,100,True,100,1.0,100,True,0,0,1800.6676271939593,L-main-threeshift-20c-01,0,100,NO_LOCAL_SEARCH,small__L-main-threeshift-20c-01__NO_LOCAL_SEARCH__seed3,small,3,baselines/e2_alns/m1_local_search_budget_20260710/solutions/small__L-main-threeshift-20c-01__NO_LOCAL_SEARCH__seed3.json,0
114,2826.795844058303,2,16,100,True,1778,17.78,100,True,1678,1609,4088.2257659851743,L-main-threeshift-50c-01,0,100,CURRENT_T3,medium__L-main-threeshift-50c-01__CURRENT_T3__seed1,medium,1,baselines/e2_alns/m1_local_search_budget_20260710/solutions/medium__L-main-threeshift-50c-01__CURRENT_T3__seed1.json,0
114,2832.4708501264236,1,16,100,True,100,1.0,100,True,0,0,4088.2257659851743,L-main-threeshift-50c-01,0,100,NO_LOCAL_SEARCH,medium__L-main-threeshift-50c-01__NO_LOCAL_SEARCH__seed1,medium,1,baselines/e2_alns/m1_local_search_budget_20260710/solutions/medium__L-main-threeshift-50c-01__NO_LOCAL_SEARCH__seed1.json,0
114,2818.757064564066,3,16,100,True,1400,14.0,100,True,1300,1247,4088.2257659851743,L-main-threeshift-50c-01,0,100,CURRENT_T3,medium__L-main-threeshift-50c-01__CURRENT_T3__seed2,medium,2,baselines/e2_alns/m1_local_search_budget_20260710/solutions/medium__L-main-threeshift-50c-01__CURRENT_T3__seed2.json,0
114,2856.2697852959445,3,16,100,True,100,1.0,100,True,0,0,4088.2257659851743,L-main-threeshift-50c-01,0,100,NO_LOCAL_SEARCH,medium__L-main-threeshift-50c-01__NO_LOCAL_SEARCH__seed2,medium,2,baselines/e2_alns/m1_local_search_budget_20260710/solutions/medium__L-main-threeshift-50c-01__NO_LOCAL_SEARCH__seed2.json,0
114,2884.5300471964006,2,16,100,True,860,8.6,100,True,760,726,4088.2257659851743,L-main-threeshift-50c-01,0,100,CURRENT_T3,medium__L-main-threeshift-50c-01__CURRENT_T3__seed3,medium,3,baselines/e2_alns/m1_local_search_budget_20260710/solutions/medium__L-main-threeshift-50c-01__CURRENT_T3__seed3.json,0
114,2910.8900337047553,2,16,101,True,101,1.0,100,True,0,0,4088.2257659851743,L-main-threeshift-50c-01,1,101,NO_LOCAL_SEARCH,medium__L-main-threeshift-50c-01__NO_LOCAL_SEARCH__seed3,medium,3,baselines/e2_alns/m1_local_search_budget_20260710/solutions/medium__L-main-threeshift-50c-01__NO_LOCAL_SEARCH__seed3.json,0
221,5765.304143075041,5,33,100,True,2264,22.64,100,True,2164,2076,7320.111795906428,L-main-threeshift-100c-01,0,100,CURRENT_T3,large__L-main-threeshift-100c-01__CURRENT_T3__seed1,large,1,baselines/e2_alns/m1_local_search_budget_20260710/solutions/large__L-main-threeshift-100c-01__CURRENT_T3__seed1.json,0
221,5655.717451885133,7,33,100,True,100,1.0,100,True,0,0,7320.111795906428,L-main-threeshift-100c-01,0,100,NO_LOCAL_SEARCH,large__L-main-threeshift-100c-01__NO_LOCAL_SEARCH__seed1,large,1,baselines/e2_alns/m1_local_search_budget_20260710/solutions/large__L-main-threeshift-100c-01__NO_LOCAL_SEARCH__seed1.json,0
221,6838.158443607322,24,34,100,True,1650,16.5,100,True,1550,1488,7320.111795906428,L-main-threeshift-100c-01,0,100,CURRENT_T3,large__L-main-threeshift-100c-01__CURRENT_T3__seed2,large,2,baselines/e2_alns/m1_local_search_budget_20260710/solutions/large__L-main-threeshift-100c-01__CURRENT_T3__seed2.json,0
221,6838.158443607322,24,34,100,True,100,1.0,100,True,0,0,7320.111795906428,L-main-threeshift-100c-01,0,100,NO_LOCAL_SEARCH,large__L-main-threeshift-100c-01__NO_LOCAL_SEARCH__seed2,large,2,baselines/e2_alns/m1_local_search_budget_20260710/solutions/large__L-main-threeshift-100c-01__NO_LOCAL_SEARCH__seed2.json,0
221,5858.848391207209,6,32,100,True,1133,11.33,100,True,1033,990,7320.111795906428,L-main-threeshift-100c-01,0,100,CURRENT_T3,large__L-main-threeshift-100c-01__CURRENT_T3__seed3,large,3,baselines/e2_alns/m1_local_search_budget_20260710/solutions/large__L-main-threeshift-100c-01__CURRENT_T3__seed3.json,0
221,5859.985671827966,6,32,100,True,100,1.0,100,True,0,0,7320.111795906428,L-main-threeshift-100c-01,0,100,NO_LOCAL_SEARCH,large__L-main-threeshift-100c-01__NO_LOCAL_SEARCH__seed3,large,3,baselines/e2_alns/m1_local_search_budget_20260710/solutions/large__L-main-threeshift-100c-01__NO_LOCAL_SEARCH__seed3.json,0
