check_id,historical_status,current_resolution_status,current_authority_or_blocker,notes
A2-03-PHYSICAL,FAIL,RESOLVED_BY_VERSIONED_AUTHORITY,data/ChinaInstances/china81_customer_location_assignments_gis_v3_20260723,"Old assignments remain immutable; corrected build removes physical aliases before deterministic selection."
A2-03,FAIL,RESOLVED_BY_VERSIONED_AUTHORITY,data/ChinaInstances/china81_customer_location_assignments_gis_v3_20260723,"Corrected points are constrained to their declared administrative boundary."
A2-03-TAGS,FAIL,RESOLVED_BY_VERSIONED_AUTHORITY,data/ChinaInstances/china81_customer_location_assignments_gis_v3_20260723,"Foreign-tag false positives are no longer used as geometry; boundary membership is authoritative."
A2-03-POOL,FAIL,RESOLVED_BY_VERSIONED_AUTHORITY,data/ChinaInstances/china81_customer_location_assignments_gis_v3_20260723,"Boundary filtering occurs before deterministic seeded sampling."
A2-09,FAIL,RESOLVED_BY_VERSIONED_AUTHORITY,runtime_boundary_checks.csv,"Runtime loader requires reviewed city-boundary membership and fails closed on wrong-city fault injection."
A4-01,FAIL,RESOLVED_BY_VERSIONED_AUTHORITY,data/ChinaInstances/china81_runtime_parameter_authority_v3_20260723,"Chengdu maps to Sichuan and Chongqing maps to Chongqing."
A4-02,FAIL,RESOLVED_BY_VERSIONED_AUTHORITY,data/ChinaInstances/china81_runtime_parameter_authority_v3_20260723,"All 1344 Chengdu calendar rows use the Sichuan source column."
A3-02,FAIL,RESOLVED_BY_VERSIONED_AUTHORITY,data/ChinaInstances/china81_runtime_parameter_authority_v3_20260723,"Shenzhen price_area_id and v3 semantic class are explicit; numeric tariff values are unchanged."
A1-03,FAIL,RESOLVED_BY_VERSIONED_AUTHORITY,data/ChinaInstances/china81_runtime_parameter_authority_v3_20260723,"One explicit candidate authority now binds tariff and carbon; diesel activation remains held."
A3-10,FAIL,OPEN_USER_DECISION,D1-DIESEL,"Date-aligned candidate values are registered but not activated."
A3-11,FAIL,PARTIAL_SELECTOR_REPAIRED_PARAMETER_HELD,D1-DIESEL,"City/diesel-zone selector is materialized; numeric values remain approval-governed."
A1-06,FAIL,OPEN_VERSION_REVIEW,protected evaluator/checker versioning,"Deterministic checker repairs are intentional; old sealed hashes must remain historical and a new reviewed contract/hash is required."
A12-06,FAIL,OPEN_RERUN,D6-RERUN-SCOPE,"Corrected authority changes private China81 evidence; no old raw result is overwritten."
A12-06-REP,FAIL,OPEN_RERUN,D6-RERUN-SCOPE,"The old representative-instance route table and trajectory are not corrected-authority evidence."
