identity_cluster_id,identity_cluster_class,identity_cluster_reason,identity_cluster_note,identity_cluster_source,category,instance,algorithm,seed,run_count,best_cost,instance_frontier_cost,gap_to_frontier_fraction,best_signature,signature_prefix,native_best_updates_min,native_best_updates_max,baseline_only,covers_expected_matrix,run_ids
IDC001,SHARED_STALL,BASELINE_ONLY_NONFRONTIER_ACTIVE_CLUSTER,"Cluster is non-frontier, baseline-only, and members have native_best_updates>=1; disclose as shared stall without excluding rows.",phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,multidepot,e2-multidepot-100c-01,GA|GA-VNS|PSO,1|3,3,2894.1244745663066,2467.994869985334,0.17266227323377903,b80ab177a9dac86214e7bfd23c63ecc053b649735bed7fe417a0edfbdf32b820,b80ab177a9dac862,2,3,True,False,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__GA-VNS__seed1|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__GA__seed1|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__PSO__seed3
IDC003,NATURAL_CONVERGENCE,FRONTIER_CLUSTER_WITH_NATIVE_UPDATES,Cluster equals the current instance frontier and all members have native_best_updates>=1; treat as natural convergence.,phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,multidepot,e2-multidepot-10c-01,GA|GA-VNS|LNS|VNS|t3_main_alns,1|2|3,11,371.9993673208387,371.9993673208387,0.0,af2703e54ec342829fe77a826735a17f481316c42fe3c058bfcf010a64da731d,af2703e54ec34282,1,10,False,False,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__GA-VNS__seed1|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__GA-VNS__seed2|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__GA-VNS__seed3|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__GA__seed2|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__LNS__seed1|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__LNS__seed2|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__LNS__seed3|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__VNS__seed1|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__VNS__seed2|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__VNS__seed3|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__t3_main_alns__seed1
IDC002,SECONDARY_ATTRACTOR,NONFRONTIER_ACTIVE_CLUSTER,"Cluster is non-frontier but members have native_best_updates>=1; disclose as a secondary attractor, not a homogeneity halt.",phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,multidepot,e2-multidepot-10c-01,GA|GWO|PSO|t3_main_alns,1|2|3,9,387.90073433195352,371.9993673208387,0.0427456829446711,e912d411804e6ecf628a63c74039a895c2c57ece27acdb7f93879d282d362c2b,e912d411804e6ecf,4,12,False,False,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__GA__seed1|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__GA__seed3|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__GWO__seed1|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__GWO__seed2|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__GWO__seed3|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__PSO__seed2|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__PSO__seed3|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__t3_main_alns__seed2|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__t3_main_alns__seed3
IDC004,SHARED_STALL,BASELINE_ONLY_NONFRONTIER_ACTIVE_CLUSTER,"Cluster is non-frontier, baseline-only, and members have native_best_updates>=1; disclose as shared stall without excluding rows.",phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,multidepot,e2-multidepot-150c-01,GA|GA-VNS,1,2,3686.1097292793215,3383.1210530865765,0.08955892249741244,b0bcbafdcc73b9dd0e45a983e6c5294135935ff5261904d8ddd7c76c97f045bc,b0bcbafdcc73b9dd,5,5,True,False,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-150c-01__GA-VNS__seed1|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-150c-01__GA__seed1
IDC005,SHARED_STALL,BASELINE_ONLY_NONFRONTIER_ACTIVE_CLUSTER,"Cluster is non-frontier, baseline-only, and members have native_best_updates>=1; disclose as shared stall without excluding rows.",phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,multidepot,e2-multidepot-15c-01,ACO|IWD,1|2|3,3,646.70250294494656,621.371321439464,0.04076657649213756,5e762503b83c1c9f46c15b574533cbc3546e7bf59ee3828ffcd566f868efe5e2,5e762503b83c1c9f,3,10,True,False,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-15c-01__ACO__seed1|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-15c-01__IWD__seed2|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-15c-01__IWD__seed3
IDC006,NATURAL_CONVERGENCE,FRONTIER_CLUSTER_WITH_NATIVE_UPDATES,Cluster equals the current instance frontier and all members have native_best_updates>=1; treat as natural convergence.,phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,multidepot,e2-multidepot-15c-01,GA|GA-VNS|GWO|LNS|VNS,1|2|3,14,621.37132143946405,621.371321439464,0.0,38dc01d650f6effda6eea13731fd4666a96256b68521f1f276a6448fd8e49b6e,38dc01d650f6effd,1,7,True,False,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-15c-01__GA-VNS__seed1|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-15c-01__GA-VNS__seed2|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-15c-01__GA-VNS__seed3|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-15c-01__GA__seed1|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-15c-01__GA__seed2|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-15c-01__GA__seed3|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-15c-01__GWO__seed1|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-15c-01__GWO__seed2|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-15c-01__GWO__seed3|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-15c-01__LNS__seed1|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-15c-01__LNS__seed3|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-15c-01__VNS__seed1|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-15c-01__VNS__seed2|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-15c-01__VNS__seed3
IDC007,SECONDARY_ATTRACTOR,NONFRONTIER_ACTIVE_CLUSTER,"Cluster is non-frontier but members have native_best_updates>=1; disclose as a secondary attractor, not a homogeneity halt.",phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,multidepot,e2-multidepot-15c-01,t3_main_alns,1|2|3,3,649.86015264791854,621.371321439464,0.04584832003906694,762a63fb3e4dcba33c38aa40569b974c4de52893b8e9d9a9533b82e2e4dad0df,762a63fb3e4dcba3,2,6,False,False,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-15c-01__t3_main_alns__seed1|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-15c-01__t3_main_alns__seed2|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-15c-01__t3_main_alns__seed3
IDC008,SHARED_STALL,BASELINE_ONLY_NONFRONTIER_ACTIVE_CLUSTER,"Cluster is non-frontier, baseline-only, and members have native_best_updates>=1; disclose as shared stall without excluding rows.",phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,multidepot,e2-multidepot-200c-01,GA|GA-VNS,1,2,4857.8390037137215,4298.291700657145,0.13017899715159625,52da324acdfcef687c92a3ce464665cfdbcc47422f2adfa96e6e60b269dec08a,52da324acdfcef68,1,1,True,False,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-200c-01__GA-VNS__seed1|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-200c-01__GA__seed1
IDC009,SHARED_STALL,BASELINE_ONLY_NONFRONTIER_ACTIVE_CLUSTER,"Cluster is non-frontier, baseline-only, and members have native_best_updates>=1; disclose as shared stall without excluding rows.",phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,multidepot,e2-multidepot-200c-01,GA|GA-VNS,2,2,4832.7825227424682,4298.291700657145,0.12434959265412521,bb613a1f53ecff70cb248a1989e9523406ff2af67bf40b860f227bad5f10e2d1,bb613a1f53ecff70,3,3,True,False,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-200c-01__GA-VNS__seed2|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-200c-01__GA__seed2
IDC010,SECONDARY_ATTRACTOR,NONFRONTIER_ACTIVE_CLUSTER,"Cluster is non-frontier but members have native_best_updates>=1; disclose as a secondary attractor, not a homogeneity halt.",phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,multidepot,e2-multidepot-20c-01,GWO|LNS|VNS|t3_main_alns,1|2|3,9,705.75085075646302,694.0253895762944,0.016894859116504467,6e5fb3ec24c09fcdbcfad00d5799235015116bfdf53b3237c01af71d4239f100,6e5fb3ec24c09fcd,8,24,False,False,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-20c-01__GWO__seed2|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-20c-01__GWO__seed3|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-20c-01__LNS__seed2|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-20c-01__LNS__seed3|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-20c-01__VNS__seed1|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-20c-01__VNS__seed2|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-20c-01__VNS__seed3|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-20c-01__t3_main_alns__seed2|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-20c-01__t3_main_alns__seed3
IDC011,NATURAL_CONVERGENCE,FRONTIER_CLUSTER_WITH_NATIVE_UPDATES,Cluster equals the current instance frontier and all members have native_best_updates>=1; treat as natural convergence.,phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,multidepot,e2-multidepot-25c-01,GWO|VNS,1|2|3,3,577.85437432795038,577.8543743279504,0.0,0a7cab5e12d0e4c538fe71f9f07859309f384f61241d889e494107b297bd6bbd,0a7cab5e12d0e4c5,18,23,True,False,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-25c-01__GWO__seed1|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-25c-01__GWO__seed3|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-25c-01__VNS__seed2
IDC012,SHARED_STALL,BASELINE_ONLY_NONFRONTIER_ACTIVE_CLUSTER,"Cluster is non-frontier, baseline-only, and members have native_best_updates>=1; disclose as shared stall without excluding rows.",phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,multidepot,e2-multidepot-25c-01,GWO|VNS,1|2,2,585.58265377554574,577.8543743279504,0.01337409525814079,4b1587afe06c23c2a241d9b4ac5c6a400ef28a595c2b262d2aafbe5c7d461149,4b1587afe06c23c2,19,21,True,False,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-25c-01__GWO__seed2|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-25c-01__VNS__seed1
IDC013,SHARED_STALL,BASELINE_ONLY_NONFRONTIER_ACTIVE_CLUSTER,"Cluster is non-frontier, baseline-only, and members have native_best_updates>=1; disclose as shared stall without excluding rows.",phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,multidepot,e2-multidepot-75c-01,GA|GA-VNS|PSO,1|2,3,2195.3943306885162,2001.7043548591696,0.09676252907136915,15c0fe5a7b4624923e04e8e526c99c22611c32f17dcfa2b47f43e4eefcc1df6d,15c0fe5a7b462492,2,2,True,False,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-75c-01__GA-VNS__seed2|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-75c-01__GA__seed2|D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-75c-01__PSO__seed1
IDC014,SHARED_STALL,BASELINE_ONLY_NONFRONTIER_ACTIVE_CLUSTER,"Cluster is non-frontier, baseline-only, and members have native_best_updates>=1; disclose as shared stall without excluding rows.",phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,threeshift,e2-threeshift-150c-01,PSO,2|3,2,5044.6798393429272,3606.94552015496,0.39860161767184105,7d24582054ba6c29daae3f6f5b0c7d1b37174d635be26961fa9d0bec3142327b,7d24582054ba6c29,1,5,True,False,D_G5_TIER1__formal_goeke80__threeshift__e2-threeshift-150c-01__PSO__seed2|D_G5_TIER1__formal_goeke80__threeshift__e2-threeshift-150c-01__PSO__seed3
IDC015,SHARED_STALL,BASELINE_ONLY_NONFRONTIER_ACTIVE_CLUSTER,"Cluster is non-frontier, baseline-only, and members have native_best_updates>=1; disclose as shared stall without excluding rows.",phase_d_g5_t3_material/identity_clusters.csv;raw_runs.csv,threeshift,e2-threeshift-75c-01,PSO,2|3,2,2623.7714135321708,1879.3851292337,0.39607969261839737,9fc0585ffa99d8620fcf1220f64c3850b4bc6fc9889177dbda9f8e28f5044044,9fc0585ffa99d862,1,1,True,False,D_G5_TIER1__formal_goeke80__threeshift__e2-threeshift-75c-01__PSO__seed2|D_G5_TIER1__formal_goeke80__threeshift__e2-threeshift-75c-01__PSO__seed3
