label,run_id,seed,budget,evaluation_index,view,source,iteration,candidate_id,completion_succeeded,status,complete_objective,complete_objective_float_hex,exception_type,exception_message,failure_category
pre,seed1_budget100,1,100,1,cv_only,hgs_iteration_checkpoint,100,,False,INFEASIBLE_OR_ERROR,,,ValueError,"China81 route skeleton cannot satisfy the registered physical fleet caps at 'D_shenzhen': overage=(1, 0, 1)",代理找到但完成失败
pre,seed1_budget100,1,100,2,cv_only,terminal_population_archive,,,False,INFEASIBLE_OR_ERROR,,,ValueError,"China81 route skeleton cannot satisfy the registered physical fleet caps at 'D_shenzhen': overage=(1, 0, 1)",代理找到但完成失败
pre,seed1_budget100,1,100,3,cv_only,terminal_population_archive,,,False,INFEASIBLE_OR_ERROR,,,ValueError,"China81 route skeleton cannot satisfy the registered physical fleet caps at 'D_shenzhen': overage=(1, 0, 1)",代理找到但完成失败
pre,seed1_budget100,1,100,4,cv_only,terminal_population_archive,,,False,INFEASIBLE_OR_ERROR,,,ValueError,"China81 route skeleton cannot satisfy the registered physical fleet caps at 'D_shenzhen': overage=(1, 0, 1)",代理找到但完成失败
pre,seed1_budget100,1,100,5,cv_only,terminal_population_archive,,,False,INFEASIBLE_OR_ERROR,,,ValueError,"China81 route skeleton cannot satisfy the registered physical fleet caps at 'D_shenzhen': overage=(1, 0, 1)",代理找到但完成失败
pre,seed1_budget100,1,100,6,cv_only,terminal_population_archive,,,False,INFEASIBLE_OR_ERROR,,,ValueError,"China81 route skeleton cannot satisfy the registered physical fleet caps at 'D_shenzhen': overage=(1, 0, 1)",代理找到但完成失败
pre,seed1_budget100,1,100,7,cv_only,terminal_population_archive,,,False,INFEASIBLE_OR_ERROR,,,ValueError,"China81 route skeleton cannot satisfy the registered physical fleet caps at 'D_shenzhen': overage=(1, 0, 1)",代理找到但完成失败
pre,seed1_budget100,1,100,8,cv_only,terminal_population_archive,,,False,INFEASIBLE_OR_ERROR,,,ValueError,"China81 route skeleton cannot satisfy the registered physical fleet caps at 'D_shenzhen': overage=(1, 0, 1)",代理找到但完成失败
pre,seed1_budget100,1,100,9,cv_only,terminal_population_archive,,,False,INFEASIBLE_OR_ERROR,,,ValueError,"China81 route skeleton cannot satisfy the registered physical fleet caps at 'D_shenzhen': overage=(1, 0, 1)",代理找到但完成失败
pre,seed1_budget100,1,100,10,cv_only,common_initial_solution,,,True,PASS,2018.3191543892503,0x1.f8946d06880d2p+10,,,
pre,seed1_budget100,1,100,11,cv_only,proxy_best_solution,100,,False,INFEASIBLE_OR_ERROR,,,ValueError,"China81 route skeleton cannot satisfy the registered physical fleet caps at 'D_shenzhen': overage=(1, 0, 1)",代理找到但完成失败
pre,seed1_budget100,1,100,12,naive_ev,hgs_iteration_checkpoint,100,,False,INFEASIBLE_OR_ERROR,,,ValueError,"China81 route skeleton cannot satisfy the registered physical fleet caps at 'D_shenzhen': overage=(1, 0, 1)",代理找到但完成失败
pre,seed1_budget100,1,100,13,naive_ev,terminal_population_archive,,,False,INFEASIBLE_OR_ERROR,,,ValueError,"China81 route skeleton cannot satisfy the registered physical fleet caps at 'D_shenzhen': overage=(1, 0, 1)",代理找到但完成失败
pre,seed1_budget100,1,100,14,naive_ev,terminal_population_archive,,,False,INFEASIBLE_OR_ERROR,,,ValueError,"China81 route skeleton cannot satisfy the registered physical fleet caps at 'D_shenzhen': overage=(1, 0, 1)",代理找到但完成失败
pre,seed1_budget100,1,100,15,naive_ev,terminal_population_archive,,,False,INFEASIBLE_OR_ERROR,,,ValueError,"China81 route skeleton cannot satisfy the registered physical fleet caps at 'D_shenzhen': overage=(1, 0, 1)",代理找到但完成失败
pre,seed1_budget100,1,100,16,naive_ev,terminal_population_archive,,,False,INFEASIBLE_OR_ERROR,,,ValueError,"China81 route skeleton cannot satisfy the registered physical fleet caps at 'D_shenzhen': overage=(1, 0, 1)",代理找到但完成失败
